occupation,p_automation,routineness,complexity,stratum,education_level,no_ed_requirement,hs_diploma_or_equiv,post_secondary_no_degree,associates,bachelors,masters,doctoral,occ_clean,TOT_EMP,industry,is_medical,is_programming,is_blue_collar,is_service
Industrial machinery repairers,0.86,0.455,0.335,1,Certificate,0,0,1,0,0,0,0,industrial machinery repairers,421940,Manufacturing,0,0,1,0
Machinery maintenance occupations,0.86,0.945,0.32,1,Postsecondary nondegree award,0,0,0,0,0,0,0,machinery maintenance occupations,56540,Manufacturing,0,0,1,0
Repairers of industrial electrical equipment,0.41,0.665,0.639,1,Associate's degree,0,0,0,1,0,0,0,repairers of industrial electrical equipment,146720,Other,0,0,1,0
Repairers of data processing equipment,0.74,0.747,0.429,1,Postsecondary nondegree award,0,0,0,0,0,0,0,repairers of data processing equipment,73010,Technology,0,0,1,0
Repairers of household appliances and power tools,0.72,0.604,0.5,1,High school diploma or equivalent,0,1,0,0,0,0,0,repairers of household appliances and power tools,31940,Other,0,0,1,0
Telecom and line installers and repairers,0.425,0.234,0.528,1,High school diploma or equivalent,0,1,0,0,0,0,0,telecom and line installers and repairers,153890,Construction & Trades,0,0,1,0
"Repairers of electrical equipment, n.e.c.",0.65,0.468,0.618,1,No formal educational credential,1,0,0,0,0,0,0,repairers of electrical equipment n e c,67300,Other,0,0,1,0
"Heating, air conditioning, and refrigeration mechanics",0.65,0.392,0.623,1,High school diploma or equivalent,0,1,0,0,0,0,0,heating air conditioning and refrigeration mechanics,396870,Technology,0,1,1,0
"Precision makers, repairers, and smiths",0.785,0.896,0.432,1,No formal educational credential,1,0,0,0,0,0,0,precision makers repairers and smiths,69870,Technology,0,1,1,0
Locksmiths and safe repairers,0.77,0.598,0.418,1,No formal educational credential,1,0,0,0,0,0,0,locksmiths and safe repairers,15550,Technology,0,1,1,0
Repairers of mechanical controls and valves,0.63,0.601,0.305,1,No formal educational credential,1,0,0,0,0,0,0,repairers of mechanical controls and valves,46920,Other,0,0,1,0
Elevator installers and repairers,0.39,0.407,0.538,1,No formal educational credential,1,0,0,0,0,0,0,elevator installers and repairers,23340,Construction & Trades,0,0,1,0
Millwrights,0.59,0.294,0.583,1,High school diploma or equivalent,0,1,0,0,0,0,0,millwrights,40660,Other,0,0,0,0
"Mechanics and repairers, n.e.c.",0.5,0.44,0.383,1,Postsecondary nondegree award,0,0,0,0,0,0,0,mechanics and repairers n e c,1531700,Other,0,0,1,0
Supervisors of construction work,0.17,0.115,0.678,2,Postsecondary nondegree award,0,0,0,0,0,0,0,supervisors of construction work,806080,Construction & Trades,0,0,1,0
"Masons, tilers, and carpet installers",0.847,0.404,0.269,1,High school diploma or equivalent,0,1,0,0,0,0,0,masons tilers and carpet installers,57860,Construction & Trades,0,0,1,0
Carpenters,0.72,0.206,0.412,1,High school diploma or equivalent,0,1,0,0,0,0,0,carpenters,697740,Construction & Trades,0,0,0,0
Drywall installers,0.79,0.544,0.114,1,No formal educational credential,1,0,0,0,0,0,0,drywall installers,82900,Construction & Trades,0,0,1,0
Electricians,0.15,0.285,0.568,1,High school diploma or equivalent,0,1,0,0,0,0,0,electricians,742580,Construction & Trades,0,0,0,0
Electric power installers and repairers,0.097,0.148,0.531,1,High school diploma or equivalent,0,1,0,0,0,0,0,electric power installers and repairers,NA,Construction & Trades,0,0,1,0
"Painters, construction and maintenance",0.75,0.477,0.123,1,No formal educational credential,1,0,0,0,0,0,0,painters construction and maintenance,224180,Construction & Trades,0,0,1,0
Paperhangers,0.87,0.541,0.041,1,No formal educational credential,1,0,0,0,0,0,0,paperhangers,1520,Other,0,0,0,0
Plasterers,0.84,0.334,0.27,1,No formal educational credential,1,0,0,0,0,0,0,plasterers,20880,Other,0,0,0,0
"Plumbers, pipe fitters, and steamfitters",0.35,0.364,0.392,1,High school diploma or equivalent,0,1,0,0,0,0,0,plumbers pipe fitters and steamfitters,455940,Technology,0,1,0,0
Concrete and cement workers,0.94,0.519,0.164,1,No formal educational credential,1,0,0,0,0,0,0,concrete and cement workers,206680,Other,0,0,0,0
Glaziers,0.73,0.55,0.169,1,No formal educational credential,1,0,0,0,0,0,0,glaziers,57000,Other,0,0,0,0
Insulation workers,0.735,0.367,0.321,1,High school diploma or equivalent,0,1,0,0,0,0,0,insulation workers,64250,Other,0,0,0,0
"Paving, surfacing, and tamping equipment operators",0.83,0.525,0.24,1,High school diploma or equivalent,0,1,0,0,0,0,0,paving surfacing and tamping equipment operators,45680,Manufacturing,0,0,1,0
Roofers and slaters,0.9,0.352,0.374,1,No formal educational credential,1,0,0,0,0,0,0,roofers and slaters,136740,Construction & Trades,0,0,0,0
Structural metal workers,0.83,0.337,0.178,1,No formal educational credential,1,0,0,0,0,0,0,structural metal workers,78860,Other,0,0,0,0
Drillers of earth,0.85,0.358,0.275,1,No formal educational credential,1,0,0,0,0,0,0,drillers of earth,17410,Other,0,0,0,0
Misc. construction and related occupations,0.71,0.413,0.349,1,High school diploma or equivalent,0,1,0,0,0,0,0,misc construction and related occupations,NA,Construction & Trades,0,0,1,0
Drillers of oil wells,0.53,0.434,0.498,1,No formal educational credential,1,0,0,0,0,0,0,drillers of oil wells,57210,Other,0,0,0,0
Explosives workers,0.48,0.252,0.72,1,No formal educational credential,1,0,0,0,0,0,0,explosives workers,5680,Other,0,0,0,0
Miners,0.565,0.559,0.293,1,No formal educational credential,1,0,0,0,0,0,0,miners,14340,Other,0,0,0,0
Other mining occupations,0.93,0.568,0.063,1,High school diploma or equivalent,0,1,0,0,0,0,0,other mining occupations,56710,Other,0,0,1,0
Production supervisors or foremen,0.016,0.2,0.617,2,High school diploma or equivalent,0,1,0,0,0,0,0,production supervisors or foremen,685140,Manufacturing,0,0,1,0
Tool and die makers and die setters,0.84,0.899,0.58,1,Postsecondary nondegree award,0,0,0,0,0,0,0,tool and die makers and die setters,55130,Other,0,0,0,0
Machinists,0.91,0.711,0.512,1,High school diploma or equivalent,0,1,0,0,0,0,0,machinists,298790,Manufacturing,0,0,1,0
Boilermakers,0.68,0.534,0.502,1,High school diploma or equivalent,0,1,0,0,0,0,0,boilermakers,10170,Other,0,0,0,0
Patternmakers and model makers,0.915,0.933,0.322,1,Postsecondary nondegree award,0,0,0,0,0,0,0,patternmakers and model makers,1750,Other,0,0,0,0
Engravers,0.98,0.79,0.244,1,High school diploma or equivalent,0,1,0,0,0,0,0,engravers,NA,Other,0,0,0,0
Cabinetmakers and bench carpeters,0.92,0.325,0.42,1,High school diploma or equivalent,0,1,0,0,0,0,0,cabinetmakers and bench carpeters,79540,Other,0,0,0,0
"Furniture/wood finishers, other prec. wood workers",0.87,0.939,0.131,1,High school diploma or equivalent,0,1,0,0,0,0,0,furniture wood finishers other prec wood workers,14230,Technology,0,1,0,0
"Dressmakers, seamstresses, and tailors",0.84,0.574,0.177,1,No formal educational credential,1,0,0,0,0,0,0,dressmakers seamstresses and tailors,16290,Other,0,0,0,0
Upholsterers,0.39,0.835,0.393,1,No formal educational credential,1,0,0,0,0,0,0,upholsterers,20990,Other,0,0,0,0
"Hand molders and shapers, except jewelers",0.9,0.686,0.292,1,No formal educational credential,1,0,0,0,0,0,0,hand molders and shapers except jewelers,34750,Other,0,0,0,0
Bookbinders,0.95,0.607,0.36,1,No formal educational credential,1,0,0,0,0,0,0,bookbinders,NA,Other,0,0,0,0
Butchers and meat cutters,0.93,0.635,0.032,1,High school diploma or equivalent,0,1,0,0,0,0,0,butchers and meat cutters,140040,Other,0,0,0,0
Bakers,0.89,0.902,0.173,1,Postsecondary nondegree award,0,0,0,0,0,0,0,bakers,231890,Other,0,0,0,0
Batch food makers,0.7,0.677,0.275,1,No formal educational credential,1,0,0,0,0,0,0,batch food makers,171660,Other,0,0,0,0
Water and sewage treatment plant operators,0.61,0.465,0.571,1,No formal educational credential,1,0,0,0,0,0,0,water and sewage treatment plant operators,126750,Manufacturing,0,0,1,0
Power plant operators,0.85,0.237,0.716,1,No formal educational credential,1,0,0,0,0,0,0,power plant operators,30720,Manufacturing,0,0,1,0
"Plant and system operators, stationary engineers",0.87,0.492,0.537,1,No formal educational credential,1,0,0,0,0,0,0,plant and system operators stationary engineers,30780,Manufacturing,0,0,1,0
Other plant and system operators,0.86,0.51,0.575,1,High school diploma or equivalent,0,1,0,0,0,0,0,other plant and system operators,84560,Manufacturing,0,0,1,0
"Lathe, milling, and turning machine operatives",0.84,0.729,0.252,1,High school diploma or equivalent,0,1,0,0,0,0,0,lathe milling and turning machine operatives,32780,Manufacturing,0,0,0,0
"Rollers, roll hands, and finishers of metal",0.83,0.641,0.425,1,High school diploma or equivalent,0,1,0,0,0,0,0,rollers roll hands and finishers of metal,22350,Other,0,0,0,0
Drilling and boring machine operators,0.94,0.832,0.34,1,High school diploma or equivalent,0,1,0,0,0,0,0,drilling and boring machine operators,5310,Manufacturing,0,0,1,0
"Grinding, abrading, buffing, and polishing workers",0.95,0.917,0.424,1,No formal educational credential,1,0,0,0,0,0,0,grinding abrading buffing and polishing workers,70110,Other,0,0,0,0
Molders and casting machine operators,0.95,0.699,0.041,1,No formal educational credential,1,0,0,0,0,0,0,molders and casting machine operators,167540,Manufacturing,0,0,1,0
Heat treating equipment operators,0.91,0.623,0.346,1,High school diploma or equivalent,0,1,0,0,0,0,0,heat treating equipment operators,14590,Manufacturing,0,0,1,0
Sawing machine operators and sawyers,0.86,0.617,0.058,1,High school diploma or equivalent,0,1,0,0,0,0,0,sawing machine operators and sawyers,43140,Manufacturing,0,0,1,0
"Nail, tacking, shaping and joining mach ops (wood)",0.96,0.689,0.178,1,No formal educational credential,1,0,0,0,0,0,0,nail tacking shaping and joining mach ops wood,NA,Other,0,0,0,0
Winding and twisting textile and apparel operatives,0.96,0.884,0.275,1,No formal educational credential,1,0,0,0,0,0,0,winding and twisting textile and apparel operatives,20600,Other,0,0,0,0
"Knitters, loopers, and toppers textile operatives",0.73,0.969,0.033,1,No formal educational credential,1,0,0,0,0,0,0,knitters loopers and toppers textile operatives,14530,Technology,0,1,0,0
Textile cutting and dyeing machine operators,0.96,0.726,0.336,1,No formal educational credential,1,0,0,0,0,0,0,textile cutting and dyeing machine operators,14780,Manufacturing,0,0,1,0
Textile sewing machine operators,0.89,0.656,0.042,1,No formal educational credential,1,0,0,0,0,0,0,textile sewing machine operators,109590,Manufacturing,0,0,1,0
Shoemaking machine operators,0.97,0.714,0.025,1,No formal educational credential,1,0,0,0,0,0,0,shoemaking machine operators,7640,Manufacturing,0,0,1,0
Clothing pressing machine operators,0.81,0.86,0.002,1,No formal educational credential,1,0,0,0,0,0,0,clothing pressing machine operators,26830,Manufacturing,0,0,1,0
"Packers, fillers, and wrappers",0.98,0.759,0.276,1,No formal educational credential,1,0,0,0,0,0,0,packers fillers and wrappers,383860,Other,0,0,0,0
Extruding and forming machine operators,0.93,0.702,0.3,1,No formal educational credential,1,0,0,0,0,0,0,extruding and forming machine operators,14900,Manufacturing,0,0,1,0
Mixing and blending machine operators,0.83,0.823,0.355,1,No formal educational credential,1,0,0,0,0,0,0,mixing and blending machine operators,100840,Manufacturing,0,0,1,0
"Separating, filtering, and clarifying machine operators",0.88,0.653,0.529,1,No formal educational credential,1,0,0,0,0,0,0,separating filtering and clarifying machine operators,54200,Manufacturing,0,0,1,0
Food roasting and baking machine operators,0.91,0.857,0.071,1,No formal educational credential,1,0,0,0,0,0,0,food roasting and baking machine operators,NA,Manufacturing,0,0,1,0
"Washing, cleaning, and pickling machine operators",0.81,0.693,0.032,1,No formal educational credential,1,0,0,0,0,0,0,washing cleaning and pickling machine operators,13890,Manufacturing,0,0,1,0
Paper folding machine operators,0.67,0.677,0.233,1,No formal educational credential,1,0,0,0,0,0,0,paper folding machine operators,96950,Manufacturing,0,0,1,0
"Furnace, kiln, and oven operators, apart from food",0.37,0.492,0.176,1,No formal educational credential,1,0,0,0,0,0,0,furnace kiln and oven operators apart from food,16160,Manufacturing,0,0,1,0
"Slicing, cutting, crushing and grinding machine",0.86,0.732,0.172,1,No formal educational credential,1,0,0,0,0,0,0,slicing cutting crushing and grinding machine,NA,Manufacturing,0,0,0,0
Photographic process workers,0.99,0.851,0.299,1,No formal educational credential,1,0,0,0,0,0,0,photographic process workers,5550,Other,0,0,0,0
"Welders, solderers, and metal cutters",0.94,0.662,0.084,1,No formal educational credential,1,0,0,0,0,0,0,welders solderers and metal cutters,424040,Manufacturing,0,0,1,0
Assemblers of electrical equipment,0.95,0.844,0.32,1,No formal educational credential,1,0,0,0,0,0,0,assemblers of electrical equipment,NA,Manufacturing,0,0,0,0
Painting and decoration occupations,0.92,0.264,0.163,1,No formal educational credential,1,0,0,0,0,0,0,painting and decoration occupations,8470,Other,0,0,0,0
Supervisors of motor vehicle transportation,0.029,0.17,0.569,2,No formal educational credential,1,0,0,0,0,0,0,supervisors of motor vehicle transportation,NA,Transportation,0,0,0,0
"Truck, delivery, and tractor drivers",0.74,0.139,0.233,1,No formal educational credential,1,0,0,0,0,0,0,truck delivery and tractor drivers,3064890,Transportation,0,0,1,0
Bus drivers,0.78,0.063,0.127,1,High school diploma or equivalent,0,1,0,0,0,0,0,bus drivers,536900,Transportation,0,0,1,0
Taxi cab drivers and chauffeurs,0.89,0.079,0.281,1,No formal educational credential,1,0,0,0,0,0,0,taxi cab drivers and chauffeurs,17510,Transportation,0,0,1,0
Parking lot attendants,0.87,0.06,0.055,1,No formal educational credential,1,0,0,0,0,0,0,parking lot attendants,134650,Other,0,0,0,0
Railroad conductors and yardmasters,0.83,0.009,0.501,1,Postsecondary nondegree award,0,0,0,0,0,0,0,railroad conductors and yardmasters,47530,Transportation,0,0,0,0
Locomotive operators: engineers and firemen,0.945,0.03,0.362,1,High school diploma or equivalent,0,1,0,0,0,0,0,locomotive operators engineers and firemen,31990,Manufacturing,0,0,1,0
"Railroad brake, coupler, and switch operators",0.83,0.155,0.337,1,High school diploma or equivalent,0,1,0,0,0,0,0,railroad brake coupler and switch operators,12460,Technology,0,1,1,0
Ship crews and marine engineers,0.01,0.069,0.576,1,High school diploma or equivalent,0,1,0,0,0,0,0,ship crews and marine engineers,39940,Other,0,0,0,0
Operating engineers of construction equipment,0.95,0.416,0.274,1,No formal educational credential,1,0,0,0,0,0,0,operating engineers of construction equipment,469270,Construction & Trades,0,0,1,0
"Crane, derrick, winch, hoist, longshore operators",0.823,0.717,0.296,1,No formal educational credential,1,0,0,0,0,0,0,crane derrick winch hoist longshore operators,81580,Manufacturing,0,0,1,0
Excavating and loading machine operators,0.94,0.398,0.128,1,Certificate,0,0,1,0,0,0,0,excavating and loading machine operators,6130,Manufacturing,0,0,1,0
"Helpers, constructions",0.787,0.571,0.278,1,High school diploma or equivalent,0,1,0,0,0,0,0,helpers constructions,NA,Construction & Trades,0,0,1,0
Construction laborers,0.88,0.462,0.264,1,High school diploma or equivalent,0,1,0,0,0,0,0,construction laborers,1057660,Construction & Trades,0,0,1,0
Production helpers,0.66,0.768,0.054,1,Postsecondary nondegree award,0,0,0,0,0,0,0,production helpers,167490,Manufacturing,0,0,1,0
Garbage and recyclable material collectors,0.93,0.799,0.048,1,Certificate,0,0,1,0,0,0,0,garbage and recyclable material collectors,139180,Other,0,0,0,0
Machine feeders and offbearers,0.93,0.705,0.117,1,High school diploma or equivalent,0,1,0,0,0,0,0,machine feeders and offbearers,46690,Manufacturing,0,0,0,0
Garage and service station related occupations,0.91,0.765,0.062,1,No formal educational credential,1,0,0,0,0,0,0,garage and service station related occupations,5110,Service,0,0,0,1
Vehicle washers and equipment cleaners,0.37,0.793,0.002,1,No formal educational credential,1,0,0,0,0,0,0,vehicle washers and equipment cleaners,NA,Service,0,0,0,1
Packers and packagers by hand,0.38,0.89,0.039,1,No formal educational credential,1,0,0,0,0,0,0,packers and packagers by hand,601440,Other,0,0,0,0
"Laborers, freight, stock, and material handlers, n.e.c.",0.85,0.498,0.161,1,No formal educational credential,1,0,0,0,0,0,0,laborers freight stock and material handlers n e c,2982530,Other,0,0,1,0
